"from","to","layer_num","layer"
"Artibeus planirostris","Brosimum lactescens",1,"Frugivory"
"Artibeus lituratus","Brosimum lactescens",1,"Frugivory"
"Platyrrhinus lineatus","Emmotum nitens",1,"Frugivory"
"Artibeus fimbriatus","Piper amalago",1,"Frugivory"
"Artibeus fimbriatus","Piper crassinervium",1,"Frugivory"
"Artibeus lituratus","Cecropia glaziovii",1,"Frugivory"
"Artibeus lituratus","Cecropia pachystachya",1,"Frugivory"
"Artibeus obscurus","Cecropia pachystachya",1,"Frugivory"
"Artibeus obscurus","Piper amalago",1,"Frugivory"
"Artibeus obscurus","Piper crassinervium",1,"Frugivory"
"Carollia perspicillata","Piper aduncum",1,"Frugivory"
"Carollia perspicillata","Piper amalago",1,"Frugivory"
"Carollia perspicillata","Piper crassinervium",1,"Frugivory"
"Sturnira lilium","Cecropia hololeuca",1,"Frugivory"
"Sturnira lilium","Cecropia glaziovii",1,"Frugivory"
"Sturnira lilium","Piper crassinervium",1,"Frugivory"
"Artibeus planirostris","Ficus eximia",1,"Frugivory"
"Carollia perspicillata","Piper aduncum",1,"Frugivory"
"Platyrrhinus lineatus","Ficus eximia",1,"Frugivory"
"Sturnira giannae","Solanum wrightii",1,"Frugivory"
"Carollia benkeithi","Piper peltatum",1,"Frugivory"
"Carollia perspicillata","Cecropia distachya",1,"Frugivory"
"Carollia perspicillata","Cecropia ficifolia",1,"Frugivory"
"Carollia perspicillata","Piper peltatum",1,"Frugivory"
"Glossophaga soricina","Cecropia membranacea",1,"Frugivory"
"Glossophaga soricina","Piper peltatum",1,"Frugivory"
"Phyllostomus hastatus","Cecropia membranacea",1,"Frugivory"
"Sturnira giannae","Solanum lanceolatum",1,"Frugivory"
"Uroderma bilobatum","Clusia flavida",1,"Frugivory"
"Uroderma bilobatum","Piper peltatum",1,"Frugivory"
"Uroderma magnirostrum","Piper peltatum",1,"Frugivory"
"Artibeus obscurus","Cecropia membranacea",1,"Frugivory"
"Carollia brevicauda","Vismia macrophylla",1,"Frugivory"
"Carollia perspicillata","Vismia macrophylla",1,"Frugivory"
"Phyllostomus hastatus","Cecropia distachya",1,"Frugivory"
"Artibeus jamaicensis","Ficus trigonata",1,"Frugivory"
"Artibeus jamaicensis","Ficus insipida",1,"Frugivory"
"Artibeus lituratus","Ficus insipida",1,"Frugivory"
"Artibeus watsoni","Ficus insipida",1,"Frugivory"
"Artibeus lituratus","Piper arboreum",1,"Frugivory"
"Carollia perspicillata","Piper arboreum",1,"Frugivory"
