CurrentBatSpecies,CurrentPlantSpecies,Interaction
Artibeus planirostris,Brosimum lactescens,Frugivory
Artibeus lituratus,Brosimum lactescens,Frugivory
Platyrrhinus lineatus,Emmotum nitens,Frugivory
Artibeus fimbriatus,Piper amalago,Frugivory
Artibeus fimbriatus,Piper crassinervium,Frugivory
Artibeus lituratus,Cecropia glaziovii,Frugivory
Artibeus lituratus,Cecropia pachystachya,Frugivory
Artibeus obscurus,Cecropia pachystachya,Frugivory
Artibeus obscurus,Piper amalago,Frugivory
Artibeus obscurus,Piper crassinervium,Frugivory
Carollia perspicillata,Piper aduncum,Frugivory
Carollia perspicillata,Piper amalago,Frugivory
Carollia perspicillata,Piper crassinervium,Frugivory
Sturnira lilium,Cecropia hololeuca,Frugivory
Sturnira lilium,Cecropia glaziovii,Frugivory
Sturnira lilium,Piper crassinervium,Frugivory
Artibeus planirostris,Ficus eximia,Frugivory
Carollia perspicillata,Piper aduncum,Frugivory
Platyrrhinus lineatus,Ficus eximia,Frugivory
Sturnira giannae,Solanum wrightii,Frugivory
Leptonycteris nivalis,Agave schottii,Nectarivory
Leptonycteris nivalis,Carnegiea gigantea,Nectarivory
Choeronycteris mexicana,Stenocereus stellatus,Nectarivory
Leptonycteris yerbabuenae,Stenocereus stellatus,Nectarivory
Leptonycteris nivalis,Stenocereus stellatus,Nectarivory
Choeronycteris mexicana,Agave macroacantha,Nectarivory
Leptonycteris yerbabuenae,Agave macroacantha,Nectarivory
Carollia benkeithi,Piper peltatum,Frugivory
Carollia perspicillata,Cecropia distachya,Frugivory
Carollia perspicillata,Cecropia ficifolia,Frugivory
Carollia perspicillata,Piper peltatum,Frugivory
Glossophaga soricina,Cecropia membranacea,Frugivory
Glossophaga soricina,Piper peltatum,Frugivory
Phyllostomus hastatus,Cecropia membranacea,Frugivory
Sturnira giannae,Solanum lanceolatum,Frugivory
Uroderma bilobatum,Clusia flavida,Frugivory
Uroderma bilobatum,Piper peltatum,Frugivory
Uroderma magnirostrum,Piper peltatum,Frugivory
Artibeus obscurus,Cecropia membranacea,Frugivory
Carollia brevicauda,Vismia macrophylla,Frugivory
Carollia perspicillata,Vismia macrophylla,Frugivory
Phyllostomus hastatus,Cecropia distachya,Frugivory
Artibeus jamaicensis,Ficus trigonata,Frugivory
Artibeus jamaicensis,Ficus insipida,Frugivory
Artibeus lituratus,Ficus insipida,Frugivory
Artibeus watsoni,Ficus insipida,Frugivory
Artibeus lituratus,Piper arboreum,Frugivory
Carollia perspicillata,Piper arboreum,Frugivory
Glossophaga soricina,Piper arboreum,Frugivory
Sturnira lilium,Piper arboreum,Frugivory
Artibeus jamaicensis,Quararibea asterolepis,Frugivory
Artibeus jamaicensis,Dipteryx oleifera,Frugivory
Artibeus jamaicensis,Ficus insipida,Frugivory
Artibeus lituratus,Dipteryx oleifera,Frugivory
Artibeus lituratus,Ficus insipida,Frugivory
Artibeus phaeotis,Spondias radlkoferi,Frugivory
Artibeus phaeotis,Cecropia insignis,Frugivory
Carollia castanea,Aechmea tillandsioides,Frugivory
Carollia castanea,Carludovica palmata,Frugivory
Carollia castanea,Dipteryx oleifera,Frugivory
Carollia castanea,Brosimum alicastrum,Frugivory
Carollia castanea,Piper aequale,Frugivory
Carollia castanea,Piper carrilloanum,Frugivory
Carollia castanea,Piper cordulatum,Frugivory
Carollia castanea,Piper marginatum,Frugivory
Carollia castanea,Piper reticulatum,Frugivory
Carollia castanea,Markea panamensis,Frugivory
Carollia castanea,Solanum hayesii,Frugivory
Carollia perspicillata,Anacardium excelsum,Frugivory
Carollia perspicillata,Quararibea asterolepis,Frugivory
Carollia perspicillata,Senna undulata,Frugivory
Carollia perspicillata,Cecropia insignis,Frugivory
Carollia perspicillata,Carludovica palmata,Frugivory
Carollia perspicillata,Dipteryx oleifera,Frugivory
Carollia perspicillata,Brosimum alicastrum,Frugivory
Carollia perspicillata,Piper aequale,Frugivory
Carollia perspicillata,Piper cordulatum,Frugivory
Carollia perspicillata,Piper marginatum,Frugivory
Carollia perspicillata,Piper reticulatum,Frugivory
Carollia perspicillata,Solanum hayesii,Frugivory
Carollia perspicillata,Markea panamensis,Frugivory
Centurio senex,Spondias radlkoferi,Frugivory
Chiroderma gorgasi,Ficus popenoei,Frugivory
Chiroderma villosum,Ficus popenoei,Frugivory
Glossophaga soricina,Cecropia insignis,Frugivory
Glossophaga soricina,Ochroma pyramidale,Nectarivory
Lampronycteris brachyotis,Ochroma pyramidale,Nectarivory
Phyllostomus discolor,Cecropia insignis,Frugivory
Phyllostomus discolor,Ochroma pyramidale,Nectarivory
Phyllostomus discolor,Pseudobombax septenatum,Nectarivory
Vampyressa thyone,Ficus yoponensis,Frugivory
Vampyrodes major,Ficus insipida,Frugivory
Platyrrhinus helleri,Ficus insipida,Frugivory
Artibeus jamaicensis,Ficus crassinervia,Frugivory
Artibeus jamaicensis,Ficus crocata,Frugivory
Artibeus jamaicensis,Brosimum alicastrum,Frugivory
Artibeus phaeotis,Ficus crassinervia,Frugivory
Artibeus phaeotis,Muntingia calabura,Frugivory
Artibeus toltecus,Piper amalago,Frugivory
Artibeus toltecus,Ficus crassinervia,Frugivory
Artibeus toltecus,Muntingia calabura,Frugivory
Artibeus toltecus,Brosimum alicastrum,Frugivory
Carollia perspicillata,Piper amalago,Frugivory
Carollia perspicillata,Ficus crassinervia,Frugivory
Carollia perspicillata,Muntingia calabura,Frugivory
Carollia perspicillata,Piper pseudofuligineum,Frugivory
Carollia perspicillata,Vismia baccifera,Frugivory
Carollia perspicillata,Cecropia peltata,Frugivory
Carollia subrufa,Piper amalago,Frugivory
Carollia subrufa,Ficus crassinervia,Frugivory
Carollia subrufa,Muntingia calabura,Frugivory
Carollia subrufa,Piper pseudofuligineum,Frugivory
Carollia subrufa,Vismia baccifera,Frugivory
Glossophaga soricina,Piper amalago,Frugivory
Glossophaga soricina,Ficus crassinervia,Frugivory
Glossophaga soricina,Muntingia calabura,Frugivory
Glossophaga soricina,Cecropia peltata,Frugivory
Sturnira parvidens,Ficus crassinervia,Frugivory
Sturnira parvidens,Muntingia calabura,Frugivory
Glossophaga soricina,Tetrastylis ovalis,Nectarivory
Rhinophylla pumilio,Tetrastylis ovalis,Nectarivory
Anoura caudifer,Bakeridesia rufinervis,Nectarivory
Anoura caudifer,Abutilon regnellii,Nectarivory
Anoura caudifer,Abutilon regnellii,Nectarivory
Artibeus lituratus,Solanum granuloso-leprosum,Frugivory
Pygoderma bilabiatum,Solanum granuloso-leprosum,Frugivory
Sturnira lilium,Solanum granuloso-leprosum,Frugivory
Artibeus planirostris,Manilkara zapota,Frugivory
Artibeus planirostris,Cecropia palmata,Frugivory
Artibeus planirostris,Ficus maxima,Frugivory
Artibeus planirostris,Ficus microcarpa,Frugivory
Artibeus planirostris,Syzygium jambos,Frugivory
Artibeus planirostris,Oenocarpus distichus,Frugivory
Artibeus planirostris,Socratea exorrhiza,Frugivory
Artibeus planirostris,Psidium guajava,Frugivory
Glossophaga soricina,Alexa grandiflora,Nectarivory
Glossophaga soricina,Crescentia amazonica,Nectarivory
Glossophaga soricina,Crescentia cujete,Nectarivory
Glossophaga soricina,Manilkara zapota,Frugivory
Glossophaga soricina,Cecropia palmata,Frugivory
Glossophaga soricina,Crateva tapia,Nectarivory
Glossophaga soricina,Elizabetha paraensis,Nectarivory
Glossophaga soricina,Hymenaea courbaril,Nectarivory
Phyllostomus discolor,Parkia gigantocarpa,Nectarivory
Phyllostomus discolor,Parkia pendula,Nectarivory
Phyllostomus hastatus,Parkia gigantocarpa,Nectarivory
Phyllostomus hastatus,Parkia pendula,Nectarivory
Uroderma bilobatum,Ficus maxima,Frugivory
Uroderma bilobatum,Ficus microcarpa,Frugivory
Artibeus jamaicensis,Stenocereus stellatus,Nectarivory
Leptonycteris yerbabuenae,Stenocereus stellatus,Nectarivory
Choeronycteris mexicana,Stenocereus stellatus,Nectarivory
Leptonycteris nivalis,Stenocereus stellatus,Nectarivory
Artibeus concolor,Cecropia obtusa,Frugivory
Artibeus planirostris,Cecropia obtusa,Frugivory
Artibeus lituratus,Cecropia obtusa,Frugivory
Sturnira giannae,Cecropia obtusa,Frugivory
Carollia perspicillata,Rollinia exsucca ,Frugivory
Carollia perspicillata,Protium araguense,Frugivory
Carollia perspicillata,Vismia guianensis,Frugivory
Carollia perspicillata,Vismia latifolia,Frugivory
Carollia perspicillata,Vismia sessilifolia,Frugivory
Carollia perspicillata,Piper aduncum,Frugivory
Carollia perspicillata,Piper hostmannianum,Frugivory
