"name","taxon","taxon.label","species.size"
"Ametrida centurio","Bats",1,1
"Anoura caudifer","Bats",1,1
"Anoura geoffroyi","Bats",1,1
"Artibeus cinereus","Bats",1,1
"Artibeus concolor","Bats",1,1
"Artibeus fimbriatus","Bats",1,1
"Artibeus gnomus","Bats",1,1
"Artibeus jamaicensis","Bats",1,1
"Artibeus lituratus","Bats",1,1
"Artibeus obscurus","Bats",1,1
"Artibeus phaeotis","Bats",1,1
"Artibeus phaeotis or watsoni","Bats",1,1
"Artibeus planirostris","Bats",1,1
"Artibeus toltecus","Bats",1,1
"Artibeus watsoni","Bats",1,1
"Brachyphylla cavernarum","Bats",1,1
"Brachyphylla nana","Bats",1,1
"Carollia benkeithi","Bats",1,1
"Carollia brevicauda","Bats",1,1
"Carollia castanea","Bats",1,1
"Carollia perspicillata","Bats",1,1
"Carollia sowelli","Bats",1,1
"carollia subrufa","Bats",1,1
"Carollia subrufa","Bats",1,1
"Centurio senex","Bats",1,1
"Chiroderma doriae","Bats",1,1
"Chiroderma gorgasi","Bats",1,1
"Chiroderma villosum","Bats",1,1
"Choeroniscus godmani","Bats",1,1
"Choeroniscus minor","Bats",1,1
"Choeronycteris mexicana","Bats",1,1
"Glossophaga commissarisi","Bats",1,1
"Glossophaga leachii","Bats",1,1
"Glossophaga longirostris","Bats",1,1
"Glossophaga soricina","Bats",1,1
"Glyphonycteris sylvestris","Bats",1,1
"Hsunycteris thomasi","Bats",1,1
"Hylonycteris underwoodi","Bats",1,1
"Lampronycteris brachyotis","Bats",1,1
"Leptonycteris curasoae","Bats",1,1
"Leptonycteris nivalis","Bats",1,1
"Leptonycteris yerbabuenae","Bats",1,1
"Lichonycteris obscura","Bats",1,1
"Lionycteris spurrelli","Bats",1,1
"Lonchophylla robusta","Bats",1,1
"Mesophylla macconnelli","Bats",1,1
"Micronycteris hirsuta","Bats",1,1
"Monophyllus redmani","Bats",1,1
"Musonycteris harrisoni","Bats",1,1
"Phyllonycteris poeyi","Bats",1,1
"Phyllops falcatus","Bats",1,1
"Phyllostomus discolor","Bats",1,1
"Phyllostomus elongatus","Bats",1,1
"Phyllostomus hastatus","Bats",1,1
"Phyllostomus latifolius","Bats",1,1
"Platyrrhinus brachycephalus","Bats",1,1
"Platyrrhinus helleri","Bats",1,1
"Platyrrhinus lineatus","Bats",1,1
"Platyrrhinus recifinus","Bats",1,1
"Pygoderma bilabiatum","Bats",1,1
"Rhinophylla pumilio","Bats",1,1
"Sturnira erythromos","Bats",1,1
"Sturnira giannae","Bats",1,1
"Sturnira lilium","Bats",1,1
"Sturnira ludovici","Bats",1,1
"Sturnira parvidens","Bats",1,1
"Sturnira tildae","Bats",1,1
"Trinycteris nicefori","Bats",1,1
"Uroderma bilobatum","Bats",1,1
"Uroderma convexum","Bats",1,1
"Uroderma magnirostrum","Bats",1,1
"Vampyressa thyone","Bats",1,1
"Vampyriscus nymphaea","Bats",1,1
"Vampyrodes major","Bats",1,1
"Abutilon regnellii","Plants",2,1
"Acacia collinsii","Plants",2,1
"Acnistus arborescens","Plants",2,1
"Adenocalymma dichilum","Plants",2,1
"Aechmea tillandsioides","Plants",2,1
"Agave cocui","Plants",2,1
"Agave desmettiana","Plants",2,1
"Agave macroacantha","Plants",2,1
"Agave ortgiesiana","Plants",2,1
"Agave palmeri","Plants",2,1
"Agave schottii","Plants",2,1
"Agave subsimplex","Plants",2,1
"Agave vivipara","Plants",2,1
"Alexa grandiflora","Plants",2,1
"Anacardium excelsum","Plants",2,1
"Andira inermis","Plants",2,1
"Annona muricata","Plants",2,1
"Annona squamosa","Plants",2,1
"Asplundia vagans","Plants",2,1
"Bakeridesia rufinervis","Plants",2,1
"Bauhinia multinervia","Plants",2,1
"Bauhinia pauletia","Plants",2,1
"Bauhinia rufa","Plants",2,1
"Bauhinia ungulata","Plants",2,1
"Brosimum alicastrum","Plants",2,1
"Brosimum lactescens","Plants",2,1
"Burmeistera borjensis","Plants",2,1
"Burmeistera ceratocarpa","Plants",2,1
