name,code
Ametrida centurio,Amecen
Anoura caudifer,Anocau
Anoura fistulata,Anofis
Anoura geoffroyi,Anogeo
Ardops nichollsi,Ardnic
Artibeus cinereus,Artcin
Artibeus concolor,Artcon
Artibeus fimbriatus,Artfim
Artibeus flavescens,Artfla
Artibeus gnomus,Artgno
Artibeus hirsutus,Arthir
Artibeus jamaicensis,Artjam
Artibeus lituratus,Artlit
Artibeus obscurus,Artobs
Artibeus phaeotis,Artpha
Artibeus planirostris,Artpla
Artibeus toltecus,Arttol
Artibeus watsoni,Artwat
Brachyphylla cavernarum,Bracav
Brachyphylla nana,Branan
Carollia brevicauda,Carbre
Carollia castanea,Carcas
Carollia perspicillata,Carper
Carollia sowelli,Carsow
Carollia subrufa,Carsub
Centurio senex,Censen
Chiroderma doriae,Chidor
Chiroderma salvini,Chisal
Chiroderma trinitatum,Chitri
Chiroderma villosum,Chivil
Choeroniscus godmani,Chogod
Choeronycteris mexicana,Chomex
Ectophylla alba,Ectalb
Enchisthenes hartii,Enchar
Erophylla sezekorni,Erosez
Glossophaga commissarisi,Glocom
Glossophaga leachii,Glolea
Glossophaga longirostris,Glolon
Glossophaga soricina,Glosor
Hylonycteris underwoodi,Hylund
Lampronycteris brachyotis,Lambra
Leptonycteris curasoae,Lepcur
Leptonycteris nivalis,Lepniv
Leptonycteris yerbabuenae,Lepyer
Lichonycteris obscura,Licobs
Lonchophylla bokermanni,Lonbok
Lonchophylla mordax,Lonmor
Lonchophylla robusta,Lonrob
Macrotus waterhousii,Macwat
Mesophylla macconelli,Mesmac
Micronycteris hirsuta,Michir
Micronycteris megalotis,Micmeg
Monophyllus plethodon,Monple
Monophyllus redmani,Monred
Musonycteris harrisoni,Mushar
Phyllonycteris poeyi,Phypoe
Phyllostomus discolor,Phydis
Phyllostomus elongatus,Phyelo
Phyllostomus hastatus,Phyhas
Platalina genovensium,Plagen
Platyrrhinus brachycephalus,Plabra
Platyrrhinus helleri,Plahel
Platyrrhinus lineatus,Plalin
Platyrrhinus recifinus,Plarec
Pygoderma bilabiatum,Pygbil
Rhinophylla pumilio,Rhipum
Stenoderma rufum,Steruf
Sturnira erythromos,Stuery
Sturnira giannae,Stugia
Sturnira lilium,Stulil
Sturnira ludovici,Stulud
Sturnira oporaphilum,Stuopo
Sturnira parvidens,Stupar
Sturnira tildae,Stutil
Trinycteris nicefori,Trinic
Uroderma bilobatum,Urobil
Uroderma magnirostrum,Uromag
Vampyressa nymphaea,Vamnym
Vampyressa pusilla,Vampus
Vampyrodes caraccioli,Vamcar
Vampyrops helleri,Vamhel
