name,code
Abutilon regnelli,Abureg
Acacia collinsii,Acacol
Acnistus arborescens,Acnarb
Adenocalymna dichilum,Adedic
Aechmea tillandsioides,Aectil
Agave cocui,Agacoc
Agave desmettiana,Agades
Agave macroacantha,Agamac
Agave ortgiesiana,Agaort
Agave palmeri,Agapal
Agave schottii,Agasch
Agave subsimplex,Agasub
Agave vivipara,Agaviv
Alexa grandiflora,Alegra
Anacardium excelsum,Anaexc
Andira inermis,Andine
Annona muricata,Annmur
Annona squamosa,Annsqu
Asplundia vagans,Aspvag
Bakeridesia rufinervis,Bakruf
Bauhinia multinervia,Baumul
Bauhinia pauletia,Baupau
Bauhinia rufa,Bauruf
Bauhinia ungulata,Bauung
Brosimum alicastrum,Broali
Brosimum lactescens,Brolac
Burmeistera borjensis,Burbor
Burmeistera ceratocarpa,Burcer
Burmeistera cyclostigmata,Burcyc
Burmeistera cylindrocarpa,Burcyl
Burmeistera lutosa,Burlut
Burmeistera multiflora,Burmul
Burmeistera rubrosepala,Burrub
Burmeistera smaragdi,Bursma
Burmeistera sodiroana,Bursod
Burmeistera succulenta,Bursuc
Burmeistera truncata,Burtru
Byrsonima spicata,Byrspi
Calliandra laxa,Callax
Calophyllum brasiliense,Calbra
Calophyllum longifolium,Callon
Calycolpus warszewiczianus,Calwar
Calyptrogyne ghiesbreghtiana,Calghi
Capsicum annuum,Capann
Carica papaya,Carpap
Carludovica palmata,Carpal
Carnegiea gigantea,Cargig
Caryocar brasiliense,Carbra
Cecropia angustifolia,Cecang
Cecropia concolor,Ceccon
Cecropia distachya,Cecdis
Cecropia ficifolia,Cecfic
Cecropia glaziovii,Cecgla
Cecropia hololeuca,Cechol
Cecropia insignis,Cecins
Cecropia membranacea,Cecmem
Cecropia obtusa,Cecobt
Cecropia obtusifolia,Cecobf
Cecropia pachystachya,Cecpac
Cecropia Palmata,CecPal
Cecropia peltata,Cecpel
Cecropia schreberiana,Cecsch
Cecropia sciadophylla,Cecsci
Ceiba aesculifolia,Ceiaes
Ceiba pentandra,Ceipen
Celtis iguanaea,Celigu
Centropogon nigricans,Cennig
Cereus hexagonus,Cerhex
Cereus horrispinus,Cerhor
Cereus repandus,Cerrep
Chelonanthus alatus,Cheala
Chrysobalanus icaco,Chrica
Chrysophyllum cainito,Chrcai
Chrysophyllum gonocarpum,Chrgon
Chrysophyllum oliviforme,Chroli
Clarisia biflora,Clabif
Clidemia octona,Clioct
Clusia flavida,Clufla
Cobaea aschersoniana,Cobasc
Coccoloba uvifera,Cocuvi
Conostegia icosandra,Conico
Conostegia volcanalis,Convol
Conostegia xalapensis,Conxal
Copaifera langsdorffii,Coplan
Cordia bicolor,Corbic
Cordia collococca,Corcol
Couma utilis,Couuti
Coussapoa villosa,Couvil
Crateva tapia,Cratap
Crescenti alata,Creala
Crescentia amazonica,Creama
Crescentia cujete,Crecuj
Cucurbita argyirosperma,Cucarg
Cyathula prostrata,Cyapro
Cynometra retusa,Cynret
Cynophalla flexuosa,Cynfle
Diospyros discolor,Diodis
Diospyros nigra,Dionig
Dipteryx odorata,Dipodo
Dipteryx oleifera,Dipole
Drymonia rubra,Dryrub
Dyssochroma viridiflora,Dysvir
Elizabetha paraensis,Elipar
Emmotum nitens,Emmnit
Encholirium subsecundum,Encsub
Eperua falcata,Epefal
Epiphyllum hookeri,Epihoo
Eriobotrya japonica,Erijap
Eriolarynx lorentzii,Erilor
Eriotheca squamigera,Erisqu
Eugenia acapulcensis,Eugaca
Eugenia nesiotica,Eugnes
Eugenia uniflora,Euguni
Evodianthus funifer,Evofun
Ficus aurea,Ficaur
Ficus benjamina,Ficben
Ficus cahuitensis,Ficcah
Ficus citrifolia,Ficcit
Ficus clusiifolia,Ficclu
Ficus colubrinae,Ficcol
Ficus costaricana,Ficcos
Ficus cotinifolia,Ficcot
Ficus crassinervia,Ficcra
Ficus crocata,Ficcro
Ficus cyclophylla,Ficcyc
Ficus enormis,Ficeno
Ficus eximia,Ficexi
Ficus hartwegii,Fichar
Ficus insipida,Ficins
Ficus luschnatiana,Ficlus
Ficus matiziana,Ficmat
Ficus maxima,Ficmax
Ficus microcarpa,Ficmic
Ficus nymphaefolia,Ficnym
Ficus obtusifolia,Ficobt
Ficus paraensis,Ficpar
Ficus pertusa,Ficper
Ficus popenoei,Ficpop
Ficus tonduzii,Ficton
Ficus trigonata,Fictri
Ficus yoponensis,Ficyop
Flacourtia indica,Flaind
Guettarda foliacea,Guefol
Gurania acuminata,Guracu
Gurania lobata,Gurlob
Gustavia superba,Gussup
Harpochilus neesianus,Harnee
Helicteris baruensis,Helbar
Hernandia didymantha,Herdid
Hesperalbizia occidentalis,Hesocc
Hibiscus elatus,Hibela
Hibiscus rosa-sinensis,Hibros
Hillia illustris,Hilill
Hylocereus lemairei,Hyllem
Hymenaea courbaril,Hymcou
Hymenaea stigonocarpa,Hymsti
Inga uruguensis,Inguru
Inga vera,Ingver
Ipomea ampullacea,Ipoamp
Karwinskia calderonii,Karcal
Lafoensia glyptocarpa,Lafgly
