"name" "taxon" "taxon.lable" "G_norm_mean"
"1" "Ametrida centurio" "Bats" 1 1.11834606478158
"2" "Anoura caudifer" "Bats" 1 0.967239932681506
"3" "Anoura geoffroyi" "Bats" 1 0.967239932681506
"4" "Artibeus cinereus" "Bats" 1 0.967239932681506
"5" "Artibeus concolor" "Bats" 1 1.1107722588084
"6" "Artibeus fimbriatus" "Bats" 1 0.967239932681506
"7" "Artibeus gnomus" "Bats" 1 0.967239932681506
"8" "Artibeus jamaicensis" "Bats" 1 1.58185548332162
"9" "Artibeus lituratus" "Bats" 1 1.23422448234331
"10" "Artibeus obscurus" "Bats" 1 0.967239932681506
"11" "Artibeus phaeotis" "Bats" 1 1.5944379033693
"12" "Artibeus phaeotis or watsoni" "Bats" 1 0.967239932681506
"13" "Artibeus planirostris" "Bats" 1 1.34756263982138
"14" "Artibeus toltecus" "Bats" 1 0.967239932681506
"15" "Artibeus watsoni" "Bats" 1 0.967239932681506
"16" "Brachyphylla cavernarum" "Bats" 1 1.07048875993601
"17" "Brachyphylla nana" "Bats" 1 1.56168551522932
"18" "Carollia benkeithi" "Bats" 1 0.967239932681506
"19" "Carollia brevicauda" "Bats" 1 1.65992511879899
"20" "Carollia castanea" "Bats" 1 1.34757977079308
"21" "Carollia perspicillata" "Bats" 1 1.63725866062843
"22" "Carollia sowelli" "Bats" 1 0.967239932681506
"23" "carollia subrufa" "Bats" 1 0.967239932681506
"24" "Carollia subrufa" "Bats" 1 0.967239932681506
"25" "Centurio senex" "Bats" 1 0.967239932681506
"26" "Chiroderma doriae" "Bats" 1 0.967239932681506
"27" "Chiroderma gorgasi" "Bats" 1 0.967239932681506
"28" "Chiroderma villosum" "Bats" 1 0.967239932681506
"29" "Choeroniscus godmani" "Bats" 1 0.967239932681506
"30" "Choeroniscus minor" "Bats" 1 0.967239932681506
"31" "Choeronycteris mexicana" "Bats" 1 0.952118954023369
"32" "Glossophaga commissarisi" "Bats" 1 1.03271594508373
"33" "Glossophaga leachii" "Bats" 1 0.967239932681506
"34" "Glossophaga longirostris" "Bats" 1 0.979829953422443
"35" "Glossophaga soricina" "Bats" 1 1.59192365101146
"36" "Glyphonycteris sylvestris" "Bats" 1 0.967239932681506
"37" "Hsunycteris thomasi" "Bats" 1 0.967239932681506
"38" "Hylonycteris underwoodi" "Bats" 1 1.02011661715167
"39" "Lampronycteris brachyotis" "Bats" 1 0.967239932681506
"40" "Leptonycteris curasoae" "Bats" 1 0.979829953422443
"41" "Leptonycteris nivalis" "Bats" 1 0.952118954023369
"42" "Leptonycteris yerbabuenae" "Bats" 1 0.952118954023369
"43" "Lichonycteris obscura" "Bats" 1 0.967239932681506
"44" "Lionycteris spurrelli" "Bats" 1 0.967239932681506
"45" "Lonchophylla robusta" "Bats" 1 0.967239932681506
"46" "Mesophylla macconnelli" "Bats" 1 0.967239932681506
"47" "Micronycteris hirsuta" "Bats" 1 0.967239932681506
